config.name,config.backend.name,config.backend.version,config.backend._target_,config.backend.task,config.backend.library,config.backend.model_type,config.backend.model,config.backend.processor,config.backend.device,config.backend.device_ids,config.backend.seed,config.backend.inter_op_num_threads,config.backend.intra_op_num_threads,config.backend.model_kwargs.trust_remote_code,config.backend.no_weights,config.backend.device_map,config.backend.torch_dtype,config.backend.eval_mode,config.backend.to_bettertransformer,config.backend.low_cpu_mem_usage,config.backend.attn_implementation,config.backend.cache_implementation,config.backend.autocast_enabled,config.backend.autocast_dtype,config.backend.torch_compile,config.backend.torch_compile_target,config.backend.quantization_scheme,config.backend.quantization_config.quant_type,config.backend.quantization_config.group_size,config.backend.deepspeed_inference,config.backend.peft_type,config.scenario.name,config.scenario._target_,config.scenario.iterations,config.scenario.duration,config.scenario.warmup_runs,config.scenario.input_shapes.batch_size,config.scenario.input_shapes.sequence_length,config.scenario.new_tokens,config.scenario.memory,config.scenario.latency,config.scenario.energy,config.scenario.generate_kwargs.max_new_tokens,config.scenario.generate_kwargs.min_new_tokens,config.launcher.name,config.launcher._target_,config.launcher.device_isolation,config.launcher.device_isolation_action,config.launcher.numactl,config.launcher.start_method,config.environment.cpu,config.environment.cpu_count,config.environment.cpu_ram_mb,config.environment.system,config.environment.machine,config.environment.platform,config.environment.processor,config.environment.python_version,config.environment.gpu,config.environment.gpu_count,config.environment.gpu_vram_mb,config.environment.optimum_benchmark_version,config.environment.optimum_benchmark_commit,config.environment.transformers_version,config.environment.transformers_commit,config.environment.accelerate_version,config.environment.accelerate_commit,config.environment.diffusers_version,config.environment.diffusers_commit,config.environment.optimum_version,config.environment.optimum_commit,config.environment.timm_version,config.environment.timm_commit,config.environment.peft_version,config.environment.peft_commit,config.print_report,config.log_report,report.traceback,report.load_model.memory.unit,report.load_model.memory.max_ram,report.load_model.memory.max_global_vram,report.load_model.memory.max_process_vram,report.load_model.memory.max_reserved,report.load_model.memory.max_allocated,report.load_model.latency.unit,report.load_model.latency.values,report.load_model.latency.count,report.load_model.latency.total,report.load_model.latency.mean,report.load_model.latency.p50,report.load_model.latency.p90,report.load_model.latency.p95,report.load_model.latency.p99,report.load_model.latency.stdev,report.load_model.latency.stdev_,report.load_model.throughput,report.load_model.energy.unit,report.load_model.energy.cpu,report.load_model.energy.ram,report.load_model.energy.gpu,report.load_model.energy.total,report.load_model.efficiency,report.prefill.memory.unit,report.prefill.memory.max_ram,report.prefill.memory.max_global_vram,report.prefill.memory.max_process_vram,report.prefill.memory.max_reserved,report.prefill.memory.max_allocated,report.prefill.latency.unit,report.prefill.latency.values,report.prefill.latency.count,report.prefill.latency.total,report.prefill.latency.mean,report.prefill.latency.p50,report.prefill.latency.p90,report.prefill.latency.p95,report.prefill.latency.p99,report.prefill.latency.stdev,report.prefill.latency.stdev_,report.prefill.throughput.unit,report.prefill.throughput.value,report.prefill.energy.unit,report.prefill.energy.cpu,report.prefill.energy.ram,report.prefill.energy.gpu,report.prefill.energy.total,report.prefill.efficiency.unit,report.prefill.efficiency.value,report.decode.memory.unit,report.decode.memory.max_ram,report.decode.memory.max_global_vram,report.decode.memory.max_process_vram,report.decode.memory.max_reserved,report.decode.memory.max_allocated,report.decode.latency.unit,report.decode.latency.values,report.decode.latency.count,report.decode.latency.total,report.decode.latency.mean,report.decode.latency.p50,report.decode.latency.p90,report.decode.latency.p95,report.decode.latency.p99,report.decode.latency.stdev,report.decode.latency.stdev_,report.decode.throughput.unit,report.decode.throughput.value,report.decode.energy.unit,report.decode.energy.cpu,report.decode.energy.ram,report.decode.energy.gpu,report.decode.energy.total,report.decode.efficiency.unit,report.decode.efficiency.value,report.per_token.memory,report.per_token.latency.unit,report.per_token.latency.values,report.per_token.latency.count,report.per_token.latency.total,report.per_token.latency.mean,report.per_token.latency.p50,report.per_token.latency.p90,report.per_token.latency.p95,report.per_token.latency.p99,report.per_token.latency.stdev,report.per_token.latency.stdev_,report.per_token.throughput,report.per_token.energy,report.per_token.efficiency
torchao-int4wo-128-eager,pytorch,2.5.1+cu124,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,llama,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,cuda,0,42,,,True,True,,bfloat16,True,False,,eager,,False,,False,forward,torchao,int4_weight_only,128,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,kill,False,spawn, Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,8,33163.747328,Linux,x86_64,Linux-5.10.228-219.884.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,['Tesla T4'],1,16106127360,0.5.0.dev0,,4.47.0,,1.2.0,,,,1.23.3,,,,0.14.0,,False,True,"Traceback (most recent call last):
  File ""/workspace/llm_perf/common/benchmark_runner.py"", line 148, in execute_and_log_benchmark
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 51, in launch
    report = launcher.launch(worker=Benchmark.run, worker_args=[config])
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 66, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 78, in run
    report = scenario.run(backend)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 129, in run
    self.run_model_loading_tracking()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 184, in run_model_loading_tracking
    self.backend.load()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 72, in load
    self.load_transformers_model()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 152, in load_transformers_model
    self.load_transformers_model_with_no_weights()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 134, in load_transformers_model_with_no_weights
    self.load_transformers_model_from_pretrained()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 86, in load_transformers_model_from_pretrained
    self.pretrained_model = self.automodel_loader.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/models/auto/auto_factory.py"", line 564, in from_pretrained
    return model_class.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 4342, in from_pretrained
    dispatch_model(model, **device_map_kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/accelerate/big_modeling.py"", line 498, in dispatch_model
    model.to(device)
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 3164, in to
    return super().to(*args, **kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1340, in to
    return self._apply(convert)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 900, in _apply
    module._apply(fn)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 927, in _apply
    param_applied = fn(param)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1326, in convert
    return t.to(
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1002.00 MiB. GPU 0 has a total capacity of 14.74 GiB of which 548.12 MiB is free. Process 60634 has 14.20 GiB memory in use. Of the allocated memory 13.98 GiB is allocated by PyTorch, and 129.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torchao-int4wo-128-sdpa,pytorch,2.5.1+cu124,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,llama,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,cuda,0,42,,,True,True,,bfloat16,True,False,,sdpa,,False,,False,forward,torchao,int4_weight_only,128,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,kill,False,spawn, Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,8,33163.747328,Linux,x86_64,Linux-5.10.228-219.884.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,['Tesla T4'],1,16106127360,0.5.0.dev0,,4.47.0,,1.2.0,,,,1.23.3,,,,0.14.0,,False,True,"Traceback (most recent call last):
  File ""/workspace/llm_perf/common/benchmark_runner.py"", line 148, in execute_and_log_benchmark
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 51, in launch
    report = launcher.launch(worker=Benchmark.run, worker_args=[config])
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 66, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 78, in run
    report = scenario.run(backend)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 129, in run
    self.run_model_loading_tracking()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 184, in run_model_loading_tracking
    self.backend.load()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 72, in load
    self.load_transformers_model()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 152, in load_transformers_model
    self.load_transformers_model_with_no_weights()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 134, in load_transformers_model_with_no_weights
    self.load_transformers_model_from_pretrained()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 86, in load_transformers_model_from_pretrained
    self.pretrained_model = self.automodel_loader.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/models/auto/auto_factory.py"", line 564, in from_pretrained
    return model_class.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 4342, in from_pretrained
    dispatch_model(model, **device_map_kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/accelerate/big_modeling.py"", line 498, in dispatch_model
    model.to(device)
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 3164, in to
    return super().to(*args, **kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1340, in to
    return self._apply(convert)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 900, in _apply
    module._apply(fn)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 927, in _apply
    param_applied = fn(param)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1326, in convert
    return t.to(
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1002.00 MiB. GPU 0 has a total capacity of 14.74 GiB of which 548.12 MiB is free. Process 61104 has 14.20 GiB memory in use. Of the allocated memory 13.98 GiB is allocated by PyTorch, and 129.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torchao-int4wo-128-flash_attention_2,pytorch,2.5.1+cu124,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,llama,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,cuda,0,42,,,True,True,,bfloat16,True,False,,flash_attention_2,,False,,False,forward,torchao,int4_weight_only,128,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,kill,False,spawn, Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,8,33163.747328,Linux,x86_64,Linux-5.10.228-219.884.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,['Tesla T4'],1,16106127360,0.5.0.dev0,,4.47.0,,1.2.0,,,,1.23.3,,,,0.14.0,,False,True,"Traceback (most recent call last):
  File ""/workspace/llm_perf/common/benchmark_runner.py"", line 148, in execute_and_log_benchmark
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 51, in launch
    report = launcher.launch(worker=Benchmark.run, worker_args=[config])
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 66, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 78, in run
    report = scenario.run(backend)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 129, in run
    self.run_model_loading_tracking()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 184, in run_model_loading_tracking
    self.backend.load()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 72, in load
    self.load_transformers_model()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 152, in load_transformers_model
    self.load_transformers_model_with_no_weights()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 134, in load_transformers_model_with_no_weights
    self.load_transformers_model_from_pretrained()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 86, in load_transformers_model_from_pretrained
    self.pretrained_model = self.automodel_loader.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/models/auto/auto_factory.py"", line 564, in from_pretrained
    return model_class.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 4342, in from_pretrained
    dispatch_model(model, **device_map_kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/accelerate/big_modeling.py"", line 498, in dispatch_model
    model.to(device)
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 3164, in to
    return super().to(*args, **kwargs)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1340, in to
    return self._apply(convert)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 900, in _apply
    module._apply(fn)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 927, in _apply
    param_applied = fn(param)
  File ""/usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py"", line 1326, in convert
    return t.to(
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1002.00 MiB. GPU 0 has a total capacity of 14.74 GiB of which 548.12 MiB is free. Process 61616 has 14.20 GiB memory in use. Of the allocated memory 13.98 GiB is allocated by PyTorch, and 129.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torchao-int4wo-128-sdpa,pytorch,2.5.1+cu124,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,bloom,bigscience/bloomz-560m,bigscience/bloomz-560m,cuda,0,42,,,True,True,,bfloat16,True,False,,sdpa,,False,,False,forward,torchao,int4_weight_only,128,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,kill,False,spawn, Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,8,33163.747328,Linux,x86_64,Linux-5.10.228-219.884.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,['Tesla T4'],1,16106127360,0.5.0.dev0,,4.47.0,,1.2.0,,,,1.23.3,,,,0.14.0,,False,True,"Traceback (most recent call last):
  File ""/workspace/llm_perf/common/benchmark_runner.py"", line 148, in execute_and_log_benchmark
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 51, in launch
    report = launcher.launch(worker=Benchmark.run, worker_args=[config])
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 66, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/benchmark/base.py"", line 78, in run
    report = scenario.run(backend)
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 129, in run
    self.run_model_loading_tracking()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/scenarios/inference/scenario.py"", line 184, in run_model_loading_tracking
    self.backend.load()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 72, in load
    self.load_transformers_model()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 152, in load_transformers_model
    self.load_transformers_model_with_no_weights()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 134, in load_transformers_model_with_no_weights
    self.load_transformers_model_from_pretrained()
  File ""/usr/local/lib/python3.10/dist-packages/optimum_benchmark/backends/pytorch/backend.py"", line 86, in load_transformers_model_from_pretrained
    self.pretrained_model = self.automodel_loader.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/models/auto/auto_factory.py"", line 564, in from_pretrained
    return model_class.from_pretrained(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 4124, in from_pretrained
    config = cls._autoset_attn_implementation(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 1597, in _autoset_attn_implementation
    config = cls._check_and_enable_sdpa(
  File ""/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py"", line 1795, in _check_and_enable_sdpa
    raise ValueError(
ValueError: BloomForCausalLM does not support an attention implementation through torch.nn.functional.scaled_dot_product_attention yet. Please request the support for this architecture: https://github.com/huggingface/transformers/issues/28005. If you believe this error is a bug, please open an issue in Transformers GitHub repository and load your model with the argument `attn_implementation=""eager""` meanwhile. Example: `model = AutoModel.from_pretrained(""openai/whisper-tiny"", attn_implementation=""eager"")`

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
